Genus_species,Fanning,PC1A,PC1B,PC1C,PC1D,PC1E,PC1F,PC1G,PC1H,PC1I,PC1J,PC2A,PC2B,PC2C,PC2D,PC2E,PC2F,PC2G,PC2H,PC2I,PC2J
Pungitius_pungitius,Fanning,-0.004837059,-0.003344649,-0.000779671,-0.063588455,-0.062231558,-0.000265831,-0.058081138,-0.080651257,-0.035530388,-0.025946319,0.029990673,0.038386729,0.039284637,0.007408145,0.031088067,0.002931946,0.017170357,0.003867034,0.036073408,0.045621352
Xiphister_atropurpureus,Fanning,-0.03462936,0.000216905,-0.053410463,0.016135319,-0.089747984,-0.038418417,-0.012593366,-0.021019562,-0.020200296,-0.022987509,0.017361536,-0.03266047,-0.015299725,-0.005251755,-0.051548376,0.030708995,-0.004675934,-0.022769374,-0.021567676,0.00589058
Xiphister_mucosus,Fanning,-0.007305128,-0.021868166,-0.049614122,-0.003662325,-0.049920781,-0.025122308,-0.057120424,-0.022237409,-0.023214429,-0.089479108,-0.053461222,-0.081847682,-0.052395885,-0.100434454,-0.038651137,-0.062315208,-0.068645203,-0.071299308,-0.040670145,-0.052932994
Ulvaria_subbifurcata,Fanning,0.04465715,0.036850082,0.106365102,0.087497917,0.049260482,0.075865041,0.01484595,0.061961671,0.004875474,0.000620747,-0.068595042,-0.039425726,-0.066889822,-0.051549867,-0.06536851,-0.080603499,-0.098570034,-0.082402069,-0.010788041,-0.081018503
Cottus_hangiongensis,Fanning,0.176042139,0.271007935,0.241123117,0.244948453,0.22094138,0.206465533,0.213949806,0.185240302,0.217564662,0.165966343,-0.094095101,-0.0642974,-0.102913374,-0.05522712,-0.070606883,-0.089429561,-0.064882108,-0.052699631,-0.088196535,-0.054443659
Cottus_gobio,Fanning,0.236385205,0.255246997,0.186537066,0.289853108,0.198328843,0.143614965,0.221246422,0.159090854,0.26360591,0.223533983,-0.056120665,-0.038441806,-0.026491698,-0.019245819,-0.0234179,-0.043941286,-0.04299835,-0.061595594,-0.004682597,-0.026528866
Cottus_bairdii,Fanning,0.196390513,0.199692672,0.18145819,0.205423251,0.15900937,0.123824589,0.160702964,0.14826871,0.170387972,0.167851266,-0.077292292,-0.122466918,-0.084192011,-0.126562121,-0.097520328,-0.132122107,-0.12943207,-0.121567642,-0.136233023,-0.140455917
Enophrys_bison,Fanning,0.03215848,0.047615425,0.103785959,0.0202572,0.062514315,0.020569429,0.077113159,0.152558342,0.112361828,0.087260553,-0.08729896,-0.058813761,-0.051077454,-0.038542082,-0.08885188,-0.050328455,-0.08587086,-0.064349753,-0.084828699,-0.078370682
Myoxocephalus_quadricornis,Fanning,0.230213217,0.170545505,0.216178535,0.215262073,0.176561943,0.120243197,0.152848675,0.128892437,0.171299932,0.181958481,0.022650331,0.044760247,-0.0126719,-0.009034223,-0.00065923,0.006652234,0.035136788,0.004476535,-0.000568738,-0.005023933
Myoxocephalus_scorpius,Fanning,-0.026148432,-0.076178717,-0.008680239,-0.064570178,-0.026792445,-0.042208838,-0.031663256,-0.022659514,-0.076205158,0.002306765,-0.041192771,-0.031110229,-0.012199481,-0.021484296,-0.034524649,0.000722764,-0.005736433,-0.05541124,-0.037534165,-0.027734857
Oligocottus_snyderi,NonFanning,0.16397432,0.113344733,0.181539109,0.126616575,0.132785451,0.089456585,0.195446163,0.149353083,0.162823415,0.168758146,-0.116418393,-0.163812366,-0.143461705,-0.126947311,-0.150718545,-0.105671367,-0.171089803,-0.167503277,-0.125627815,-0.15190301
Diplospinus_multistriatus,NonFanning,0.0457453,0.051656538,0.051356405,0.01938469,0.062697045,0.023022147,0.03816157,0.031816187,-0.026383195,0.057900298,-0.006482164,-0.081533275,-0.068356419,0.003817012,-0.039648664,-0.023576224,-0.034092143,-0.03365551,-0.06603781,-0.015910377
