,BM1,BMS,OU1,OUM,OUMV,OUMA,BM1,BMS,OU1,OUM,OUMV,OUMA
61,28.96142297,8.489649678,-48.54164656,-49.15866333,-47.01497216,-47.08536198,-282.7769085,-301.1855856,-415.2694999,-417.357199,-414.6252593,-413.5923368
62,-30.53183855,-41.21573049,-74.24060735,-74.98445427,-73.72811109,-73.27672446,-287.7288455,-305.9025917,-414.3993743,-417.363763,-412.0409718,-411.5644497
63,-32.52593216,-41.83617201,-75.04375296,-76.23184813,-74.87844751,-74.42070768,-285.4346965,-303.000478,-414.3993004,-417.5904621,-413.84146,-413.4961517
64,-27.05084751,-38.71029822,-71.88462742,-73.49903596,-72.46437711,-71.80668564,-287.0709259,-305.6609463,-414.3992997,-417.5905464,-415.1960796,-413.800268
65,-21.81319383,-34.84944963,-70.77640407,-70.8026505,-69.29200347,-68.9300361,-280.2954558,-300.6720003,-414.3992846,-417.382378,-414.6269453,-411.2510348
66,-34.32304788,-44.29426961,-76.54125766,-77.67566616,-76.56890167,-75.88445498,-284.4616525,-303.7504594,-414.3992996,-417.5181767,-414.6115982,-412.2094309
67,-23.70265989,-36.70159052,-71.43455871,-71.42954558,-70.30523027,-69.80092004,-287.5261329,-307.3394864,-414.3997713,-417.1891286,-411.9264741,-411.8286695
68,-18.78828256,-32.32673693,-68.8564057,-70.16861172,-68.88377104,-68.25402353,-285.020973,-304.6604908,-414.3992934,-417.5535949,-414.8059984,-413.8191031
69,-27.12569298,-39.08008837,-71.69416045,-72.67631843,-71.50514758,-70.9524298,-286.910826,-305.5233531,-414.3992999,-417.5855914,-414.9694813,-413.5725867
70,-29.91239109,-39.16838706,-74.32612427,-74.83378946,-73.31044486,-73.12863058,-287.3937459,-307.155042,-414.3992934,-417.5017421,-412.7415555,-413.3932021
71,3.5408463,-14.37168353,-58.93765489,-59.52251587,-57.80889883,-57.42304447,-276.253749,-297.0425067,-414.4021497,-417.8610673,-415.3382095,-415.0307207
72,-27.11100287,-39.45876954,-72.09509203,-73.03919564,-72.03288038,-71.4014306,-286.2184225,-305.2080274,-414.399337,-417.4204432,-414.6255358,-412.70068
73,-32.80402356,-41.24141186,-75.7866764,-76.72976734,-75.10821018,-74.88635167,-285.7463793,-304.5359383,-414.3992983,-417.5692747,-414.6424281,-412.6278919
74,-18.3961612,-32.81041206,-69.05419132,-69.09352199,-67.74329282,-67.28901477,-276.8339629,-298.0464868,-414.3988518,-417.3169899,-414.7966969,-412.0623426
75,-20.29996039,-33.88460218,-68.26366198,-68.91901289,-67.4094489,-66.97748227,-286.3567127,-304.9199135,-414.3992983,-417.5943218,-415.2934235,-413.9297467
76,-32.72708528,-42.25220276,-75.06017653,-76.34646677,-75.01851343,-74.45258866,-284.7840479,-303.0188762,-414.3993004,-417.5901472,-415.1093116,-413.3938019
77,-32.714793,-42.90278665,-74.5469366,-76.13115376,-75.13694849,-74.4754457,-286.0951337,-304.7063475,-414.3992958,-417.5902132,-414.9855162,-413.4762268
78,-32.05981581,-40.76945215,-75.23647884,-75.86071865,-74.13683719,-73.85949947,-285.5101714,-303.4357406,-414.3993006,-417.5922663,-414.6284934,-413.7135821
79,-13.99657221,-27.73897291,-66.55613688,-67.23998138,-65.64940752,-65.25061419,-288.2334924,-306.5039044,-414.4128884,-416.9801969,-414.1182925,-412.8636953
80,-30.07388344,-39.26714084,-73.74186951,-74.91675212,-73.27872828,-72.98933231,-286.0083854,-303.1111895,-414.3992867,-417.5864806,-413.4497817,-413.2627565
81,-30.12712727,-40.15997982,-74.12150014,-74.90979794,-73.46797901,-72.98863558,-282.3535708,-301.2913358,-414.3992928,-417.4935942,-413.9919318,-412.5708903
82,-27.35074969,-40.03013843,-72.80347621,-73.25182042,-72.12829173,-71.60259273,-283.3311899,-303.2953335,-414.3992993,-417.5353811,-415.1051707,-412.3406698
83,-29.3239816,-39.62570586,-73.11122846,-74.21115894,-72.82281217,-72.30316536,-284.9270656,-303.4807172,-414.3992978,-417.5902135,-414.8452969,-413.7109419
84,-36.165063,-45.39684023,-78.08799702,-78.93827121,-77.98607562,-77.34174668,-286.4604434,-308.209604,-414.4003912,-417.2626465,-414.603592,-411.5492901
85,-31.10197906,-40.82926087,-74.29664405,-75.22702495,-73.75794167,-73.28733301,-283.8882006,-302.4910232,-414.3992872,-417.5898009,-414.9595289,-414.1555788
86,-28.75820192,-39.43746303,-73.97037965,-75.34149178,-74.04184677,-73.43975237,-274.5743403,-295.0683504,-414.4071956,-417.0261759,-413.8910241,-412.4555936
87,-33.63632762,-41.50801863,-76.10593384,-77.07911209,-75.37500419,-75.06346781,-283.0417572,-302.3198776,-414.3992951,-417.5642468,-414.6317386,-413.5382635
88,-17.27551197,-30.34021417,-67.60622378,-68.77862957,-67.3001445,-66.80712129,-285.8880699,-305.144213,-414.3992976,-417.5997026,-414.7946162,-413.529239
89,-31.2296466,-42.4467726,-75.23977998,-76.07799945,-75.13951431,-74.48019483,-288.3621823,-307.5122643,-414.3993208,-417.4150687,-414.0813217,-411.2669438
90,-35.54089184,-43.98520594,-77.02906186,-77.91073455,-76.66588776,-76.12766491,-286.933434,-307.1812903,-414.3992994,-417.5980173,-415.1479895,-413.3998412
91,-31.74517568,-41.73517351,-74.94548436,-76.70651498,-75.45078936,-74.92768128,-283.2086492,-301.9756963,-414.3993002,-417.4994232,-414.7871782,-412.6362154
