,OUM AICc,OUM PC1 Theta - NonSwimming,OUM PC1 Theta - Swimming,OUMA AICc,OUMA PC2 Theta - NonSwimming,OUMA PC2 Theta - Swimming
72,-59.07960231,-0.168678812,0.179545494,-183.6651228,0.016899372,-0.007838856
73,-59.31510145,-0.16826463,0.181802513,-183.4070312,0.016174705,-0.008420147
74,-59.25300664,-0.167958051,0.178944181,-183.8399839,0.015689825,-0.008190853
75,-58.97136636,-0.168749511,0.175299887,-184.6141431,0.017551306,-0.008422988
76,-59.13506696,-0.168129331,0.178959278,-183.9654149,0.016146663,-0.008175396
77,-59.16029894,-0.168239997,0.180091893,-184.2475211,0.016565369,-0.008383564
78,-58.96218221,-0.168731359,0.177880648,-184.1050559,0.017076296,-0.008045245
79,-59.09785313,-0.168214188,0.178883338,-184.0987913,0.016420414,-0.008107412
80,-59.10373407,-0.16822937,0.178901692,-184.0974085,0.016452207,-0.008090503
81,-59.07982427,-0.16821419,0.178439573,-184.1582409,0.016410088,-0.008046602
82,-59.31650856,-0.167938204,0.179738376,-183.737113,0.015724135,-0.008353024
83,-59.0949958,-0.16824134,0.176160064,-184.5240219,0.016723652,-0.008521929
84,-58.98196668,-0.168537984,0.17782146,-184.2359768,0.016983482,-0.00794766
85,-59.18993573,-0.168031098,0.178797781,-183.9853558,0.015931514,-0.008126557
86,-59.08618717,-0.168221204,0.178759757,-184.0175134,0.01666425,-0.008005547
87,-59.12140629,-0.168204993,0.17487727,-184.7079502,0.017000287,-0.008820731
88,-59.08067083,-0.168214519,0.178458337,-184.1502014,0.016500411,-0.008014417
89,-59.56541325,-0.167608969,0.178442252,-181.0162971,0.01278951,-0.009162897
90,-59.07982423,-0.16821419,0.178439573,-184.1437594,0.016781261,-0.007765528
91,-58.76735236,-0.168158594,0.175929979,-184.0122244,0.016571185,-0.008505304
92,-59.07776424,-0.168218306,0.178588189,-184.0602628,0.016293744,-0.008162038
93,-59.16029885,-0.168239997,0.180091893,-184.2491179,0.016479515,-0.008419986
94,-57.31229767,-0.168467829,0.168567889,-184.2392026,0.017159488,-0.008800132
95,-59.07935097,-0.168219166,0.178632525,-184.0419221,0.016422954,-0.008105947
96,-59.22563359,-0.168032488,0.176532225,-184.2863703,0.016371098,-0.008507225
97,-59.08150209,-0.168216626,0.178516693,-184.1493579,0.016330514,-0.008091272
98,-59.08776071,-0.168217909,0.178768632,-184.0251696,0.016475058,-0.008001957
99,-59.10373406,-0.16822937,0.178901693,-184.0974085,0.016452207,-0.008090503
100,-58.98046021,-0.16872561,0.178007344,-184.1755926,0.017109151,-0.008030599
,-59.13964584,-0.168145707,0.178147517,-183.586688,0.015976548,-0.008355005
