,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
19,19,-134.0146663,-138.2528522,-178.5698718,-194.5459216,-200.7169732,-616.6789939,-614.7276359,-701.6828523,-706.2842866,-704.2183945
20,20,-130.0976727,-135.7515209,-175.382867,-191.3526031,-198.2004121,-615.7800132,-614.0897191,-700.3875505,-705.1951649,-703.1114111
21,21,-125.4494757,-131.3590534,-174.3285085,-191.4584259,-198.4039201,-617.8296766,-615.7863276,-702.8471964,-707.4974571,-705.4881345
22,22,-133.2308024,-133.3510217,-179.2695875,-196.1485291,-199.5586344,-606.4320068,-604.829424,-698.6526526,-703.6128915,-701.5280387
23,23,-116.7256136,-122.8130625,-169.4876775,-188.0861393,-195.1990725,-525.7506119,-546.6799235,-685.2807683,-693.141811,-689.0192851
24,24,-133.6683076,-139.3382712,-178.752126,-194.8061362,-201.7009516,-620.1396109,-618.2270134,-703.2601609,-707.9489809,-705.8763172
25,25,-148.7127498,-152.2582676,-187.151388,-201.6372616,-207.4113839,-618.2670825,-616.21824,-701.821396,-706.3571204,-704.3403587
26,26,-151.2590129,-154.2509865,-189.7643477,-204.0757501,-209.5914161,-568.7632187,-574.0455123,-686.9398297,-693.6191074,-691.598692
27,27,-150.0860834,-152.5346313,-187.6633863,-201.5687455,-206.7284193,-616.6609129,-614.8607396,-700.9563764,-705.7233001,-703.6320778
28,28,-126.9025884,-133.6579213,-175.4175683,-192.9400754,-200.2984164,-571.3896937,-570.0933687,-688.4634951,-694.5837157,-692.4808696
29,29,-103.0553593,-113.2210835,-162.105944,-183.1384421,-191.39011,-620.6424372,-618.6879427,-703.825774,-708.2219063,-706.1574295
30,30,-152.2680713,-155.3142538,-189.730738,-203.7415891,-209.3998423,-611.4727569,-609.4367614,-700.5756743,-705.4305397,-703.3870193
31,31,-133.7812771,-139.2658879,-178.5923245,-194.9217962,-201.7435775,-615.445894,-613.4822137,-701.9962636,-706.7705688,-704.7887293
32,32,-125.5187313,-131.4697846,-174.2387336,-191.6117308,-198.5204949,-598.2842601,-597.3411454,-694.9123987,-700.2943691,-698.2190335
33,33,-68.85945729,-83.99977486,-144.1817699,-171.7057311,-180.7825366,-618.4059008,-616.6337419,-703.6098989,-708.2815716,-706.1999703
34,34,-149.4436521,-152.8502322,-187.6186549,-201.7960151,-207.6050735,-618.7670161,-616.7364187,-702.1839386,-706.6711183,-704.6236376
35,35,-137.1174776,-141.9801984,-180.581429,-196.2505367,-202.8337685,-615.8089173,-613.8030045,-701.8072491,-706.5563208,-704.5023578
