Name,Group,PC1,PC2,PC1S,PC2S,Fanning,PectoralSwimming,All
Amphiprion_sebae,Fanning,0.242886055,-0.031007951,0.23109666,-0.041622561,1,1,All
Gobiesox_strumosus,Fanning,0.173437804,-0.001787873,,,1,-,All
Forsterygion_capito,Fanning,0.095897385,-0.154695005,,,1,-,All
Ruanoho_decemdigitatus,Fanning,0.327684229,-0.057398302,,,1,-,All
Parablennius_sanguinolentus,Fanning,0.158351085,-0.003898491,,,1,-,All
Polycentrus_schomburgkii,Fanning,0.135848112,0.090503028,,,1,-,All
Etroplus_maculatus,Fanning,-0.139731873,0.050930784,,,1,-,All
Bujurquina_vittata,Fanning,0.076277289,0.003510537,,,1,-,All
Symphysodon_aequifasciatus,Fanning,0.015345221,0.017843582,0.005279564,0.014479245,1,0,All
Rocio_octofasciata,Fanning,0.218055267,0.031092647,,,1,-,All
Archocentrus_multispinosus,Fanning,0.073618442,0.097568867,,,1,-,All
Paraneetroplus_maculicauda,Fanning,0.008347847,0.018224805,,,1,-,All
Hemichromis_bimaculatus,Fanning,0.154750545,0.07340364,,,1,-,All
Tilapia_zillii,Fanning,-0.162674466,0.064195554,-0.171437871,0.048821627,1,0,All
Pelmatolapia_mariae,Fanning,-0.241817405,0.006221428,,,1,-,All
Tylosurus_acus_acus,No Care,-0.067682329,0.104816597,,,0,-,All
Strongylura_notata_notata,No Care,-0.06791705,0.083796639,,,0,-,All
Hemiramphus_balao,No Care,-0.05592171,0.064054157,,,0,-,All
Hemiramphus_brasiliensis,No Care,-0.212993265,-0.075062852,,,0,-,All
Cypselurus_comatus,No Care,-0.299641541,0.022801588,,,0,-,All
Adinia_xenica,No Care,0.0963975,-0.047687737,,,0,-,All
Jordanella_floridae,Fanning,0.182692554,0.034689901,,,1,-,All
